experience_level,years_experience,employment_type,company_size,remote_ratio,benefits_score,job_description_length,skill_count
3,17,0,1,50,7.6,784,4
2,9,1,1,100,5.5,1243,4
2,9,0,2,0,7.0,611,5
0,0,0,2,50,7.0,1645,5
1,4,0,2,50,6.8,1212,3
3,14,1,2,0,9.0,2427,5
1,4,0,2,0,9.3,1912,5
3,11,1,0,0,8.4,1426,5
2,5,1,2,50,7.6,1596,4
0,0,0,0,0,7.7,1825,5
3,17,0,0,0,8.1,1467,5
0,1,0,2,100,6.0,984,5
2,5,0,1,0,7.9,2308,3
0,0,0,2,0,9.0,539,3
0,1,1,1,50,5.2,1419,3
3,13,0,1,0,5.8,2136,4
3,11,0,1,50,9.1,813,5
1,2,1,0,0,7.8,909,3
2,8,0,0,100,7.6,1630,4
3,11,1,2,100,7.3,1209,4
1,4,0,1,50,5.2,1070,5
2,9,1,0,50,5.2,1181,4
1,4,0,0,100,8.4,506,4
0,1,0,1,50,9.0,2090,5
1,3,1,1,0,7.9,657,3
0,0,0,0,0,6.3,1812,3
3,17,1,0,0,5.5,652,4
1,4,1,2,0,7.6,1984,4
3,19,0,1,100,5.7,911,3
3,12,0,0,100,9.9,1795,5
0,0,0,0,100,8.1,1031,4
2,7,0,0,0,7.2,1446,3
1,3,0,1,0,7.3,1075,4
1,2,0,0,0,9.1,1421,4
3,11,0,0,100,5.5,2292,3
1,4,0,1,50,9.2,826,4
0,1,0,2,0,8.3,1684,3
1,2,0,1,0,9.5,2224,3
2,6,0,0,50,7.4,1811,4
1,2,0,2,0,7.7,1002,5
2,8,0,2,100,9.5,1663,3
3,12,0,1,100,9.9,521,5
3,15,0,1,50,9.1,944,3
2,7,0,2,50,8.2,1112,4
1,2,0,0,0,8.9,721,3
2,7,0,0,0,5.7,2362,4
2,5,0,2,50,9.6,578,3
0,0,0,2,100,9.5,2424,5
1,3,0,1,100,6.6,2348,4
0,0,0,2,50,7.1,2485,3
1,3,0,1,50,8.5,986,5
3,13,0,0,100,9.6,685,4
3,19,1,0,100,7.7,834,5
1,2,0,2,100,6.6,1535,5
3,19,0,1,100,5.2,1254,3
2,9,0,1,50,9.3,1474,4
0,1,0,2,100,7.0,859,3
2,9,0,1,50,6.2,2291,3
1,3,0,1,50,9.5,2301,5
1,2,1,2,50,8.2,715,4
2,7,0,2,50,8.5,1723,5
1,2,0,2,0,5.5,1753,3
1,3,0,1,50,8.3,1290,4
3,12,0,0,50,8.5,2461,3
2,7,1,0,0,7.9,1227,4
0,1,1,0,100,5.9,1212,4
3,14,1,2,0,7.0,1483,3
3,11,0,1,100,9.9,2385,3
1,2,0,2,100,9.8,1540,4
0,0,0,2,0,9.4,673,3
3,15,0,1,100,6.4,1219,3
1,3,0,0,0,7.6,1393,5
3,13,0,0,100,5.8,1933,4
3,17,0,2,50,8.5,2004,5
3,11,0,0,50,5.0,2111,4
0,1,0,1,100,7.9,1036,5
3,13,1,1,0,6.8,991,3
3,17,0,0,100,7.6,1244,3
0,0,0,2,100,5.5,2266,5
2,7,0,1,50,6.3,684,4
0,1,0,0,0,7.6,2144,4
2,7,1,2,50,6.3,1711,5
0,1,1,0,0,6.1,1647,5
2,5,0,1,0,5.5,1636,3
2,9,0,2,50,6.6,2270,5
1,2,0,1,50,6.0,2262,5
1,3,1,1,0,7.5,1948,3
2,7,0,1,0,5.6,2231,3
1,4,0,2,0,7.4,773,3
0,0,1,0,0,8.7,2330,5
2,5,0,2,100,9.3,2129,3
0,0,0,1,100,6.6,2296,3
1,4,0,2,50,7.8,2495,3
2,6,0,1,0,5.6,1274,4
0,0,1,2,0,6.8,1854,4
1,4,1,2,100,9.4,1358,5
1,4,1,0,50,7.5,1954,4
3,18,0,1,50,5.5,1248,5
0,1,0,1,0,7.9,854,5
0,0,0,1,0,8.7,646,4
1,3,0,1,0,9.7,1401,5
0,1,0,2,50,8.5,1931,5
2,5,0,2,0,7.0,1885,3
3,18,0,2,50,9.2,1537,5
1,3,0,2,50,6.9,1423,5
1,3,0,0,50,9.0,1379,3
1,2,0,1,100,6.1,1220,4
2,5,0,2,0,5.7,503,3
2,5,0,0,100,5.3,951,4
3,15,0,1,50,9.4,1534,4
1,2,0,1,100,5.7,2036,5
0,0,0,0,100,8.3,700,5
1,4,0,2,50,8.5,2261,5
0,1,0,0,100,9.2,1214,3
1,3,0,2,0,5.9,2463,4
2,5,0,1,100,5.1,2409,5
0,0,1,2,0,8.5,2247,5
0,0,0,1,100,8.7,2424,3
2,5,1,0,100,8.6,2137,4
0,1,1,0,50,5.6,2008,5
3,12,0,0,0,7.3,1269,5
0,1,1,2,0,7.9,2090,5
1,2,0,1,50,6.5,1860,5
3,15,1,0,50,5.6,1176,4
3,15,0,0,0,6.2,1566,4
2,6,0,0,0,6.6,593,3
0,0,0,0,100,7.7,2043,4
1,3,0,0,100,5.2,1662,3
2,9,0,2,100,9.1,906,5
3,18,0,1,0,7.3,2029,5
2,7,0,0,0,6.5,1085,4
2,6,1,1,100,6.4,1642,4
1,3,0,1,50,8.0,931,5
0,1,0,1,0,8.0,783,5
2,7,0,2,50,5.9,2429,5
3,10,0,1,100,9.8,546,3
2,9,1,1,100,6.2,1136,4
1,4,0,2,50,7.4,2097,3
1,3,0,2,0,7.6,1012,3
0,0,0,2,0,5.3,1833,5
0,0,0,0,0,6.5,1652,4
3,16,0,2,0,8.4,1811,3
2,8,0,0,50,5.9,1746,4
0,0,1,2,0,8.4,1431,5
0,0,1,2,0,9.7,1121,4
3,10,0,2,0,9.6,872,3
2,9,0,2,100,5.5,1075,4
1,3,0,0,0,9.0,1057,5
2,5,0,1,50,8.6,677,4
2,5,0,0,100,8.0,768,5
0,1,0,0,100,5.2,618,3
0,0,0,1,0,8.3,1637,5
0,1,0,2,0,8.7,1385,3
1,3,0,1,0,10.0,2300,4
2,7,0,1,100,7.7,1713,3
3,18,1,2,100,7.3,2429,5
2,8,0,1,100,8.9,2489,3
2,7,0,0,100,7.5,655,5
1,4,0,1,0,7.7,1184,3
2,5,0,2,100,5.3,686,5
2,7,0,2,100,9.8,1905,5
2,8,0,0,0,8.8,1291,4
1,3,0,0,50,8.9,1558,4
0,0,0,2,50,5.3,1196,3
3,18,0,0,50,5.0,1230,4
1,4,1,0,50,6.8,1777,4
3,12,0,1,50,9.9,972,3
3,15,0,1,0,5.2,1723,3
3,12,0,0,50,5.4,900,4
3,12,0,0,0,7.7,2407,5
3,14,1,1,50,8.5,1124,4
0,0,0,2,0,6.0,1225,4
2,5,1,0,100,5.3,1064,5
3,17,0,1,100,7.4,823,3
0,0,0,0,50,7.1,2177,5
3,19,0,1,0,7.9,2274,4
0,0,0,2,50,6.4,1951,4
0,1,0,2,50,5.3,2471,3
3,19,0,1,0,6.3,1137,3
2,5,1,0,100,6.4,819,4
3,18,1,2,100,7.8,1577,5
1,3,0,1,100,9.3,1626,3
3,11,1,0,50,7.7,1743,3
3,15,0,1,50,7.4,957,4
0,1,1,0,100,9.1,2465,3
1,3,0,1,0,6.6,1126,3
0,0,0,1,0,7.5,540,5
0,0,0,2,0,6.3,887,4
2,5,0,2,0,9.2,2342,4
2,9,0,1,50,8.1,2398,4
1,3,1,1,50,8.1,1146,3
1,2,0,2,50,8.8,2022,4
1,2,1,2,100,9.5,1083,5
3,19,0,0,0,6.6,1343,3
2,9,0,2,50,8.4,729,5
3,19,1,0,0,8.9,1451,5
1,4,0,2,100,7.8,798,3
1,4,0,1,50,9.0,2220,3
2,5,0,1,50,6.7,744,3
3,16,0,2,0,8.6,829,3
0,1,0,1,50,9.5,550,4
1,2,1,1,100,6.2,1983,5
0,0,1,1,50,7.3,566,5
2,8,0,2,50,6.6,1524,5
0,1,0,0,100,9.9,716,3
0,1,0,1,50,9.4,821,3
0,0,0,2,0,5.4,786,3
1,3,0,1,100,7.7,893,4
3,15,0,1,50,5.3,1595,4
0,0,0,2,100,5.7,1599,3
2,7,0,1,100,8.7,1131,3
0,1,0,1,100,8.7,1118,5
1,2,0,0,100,9.0,2134,5
1,3,0,0,100,9.6,832,3
0,1,0,0,0,5.0,539,5
0,0,0,0,0,8.6,1309,3
3,15,0,2,50,9.6,1792,4
1,3,0,0,100,8.2,2330,4
2,8,0,2,100,6.0,1349,4
1,3,0,0,0,5.2,2296,3
0,1,1,1,100,6.4,690,3
3,11,0,0,50,5.0,849,3
3,12,0,2,0,5.4,1881,4
0,1,0,0,50,8.3,1802,4
1,4,0,1,100,9.4,2145,5
0,0,0,0,100,8.4,1031,3
1,2,0,1,50,7.4,887,4
3,12,0,0,0,8.0,1254,4
0,1,0,1,50,5.2,1951,5
2,6,0,0,50,8.9,1124,4
0,1,1,2,0,6.3,2213,3
2,5,0,0,100,8.5,809,4
2,6,0,2,100,9.7,1210,3
2,8,0,2,100,5.2,1105,5
1,2,1,1,100,6.7,2438,4
2,8,0,2,0,8.9,2479,4
1,3,0,1,0,9.1,2408,3
3,13,0,0,0,8.8,658,3
2,9,0,2,50,8.7,639,4
3,13,0,1,50,7.8,1841,3
1,4,0,2,50,5.3,1052,4
0,1,0,1,0,7.0,1269,4
3,12,0,0,100,8.8,1437,3
0,1,0,2,50,9.2,1395,4
0,1,0,2,50,6.8,1631,4
1,3,0,0,0,6.5,1515,3
3,13,1,1,0,7.6,2121,5
3,13,1,1,100,9.5,1813,4
0,0,0,2,100,5.7,749,4
0,1,0,0,50,6.6,509,3
0,0,0,2,50,8.9,1103,4
0,0,0,2,50,9.6,2180,4
1,3,1,0,0,6.6,2199,4
3,15,1,0,100,7.2,2290,3
2,5,0,1,100,5.9,1377,5
2,8,0,0,0,6.1,2435,5
3,13,0,0,50,7.8,1342,3
0,1,0,0,50,8.2,662,3
2,7,1,0,0,8.4,1762,4
1,3,0,0,0,8.3,1431,5
2,6,0,0,100,7.0,1600,3
0,1,0,1,0,6.2,1619,4
0,1,1,0,50,6.2,2472,4
0,1,0,0,50,8.8,1142,4
0,0,0,2,50,7.5,1888,3
0,1,0,1,0,6.4,1937,5
0,1,0,1,100,9.2,1988,5
3,12,1,0,100,5.5,576,3
1,2,0,1,0,5.8,1031,5
2,9,1,1,0,7.3,1146,4
3,17,0,0,100,9.1,2160,5
0,0,1,0,0,6.6,912,3
2,7,0,2,100,6.4,832,5
1,4,0,1,50,9.9,1715,3
0,0,0,1,50,7.5,2277,3
0,1,0,2,50,9.5,907,5
2,7,0,0,0,6.2,2126,5
1,4,0,0,50,8.3,794,4
3,17,0,2,0,9.3,2056,5
1,2,0,0,100,10.0,571,4
0,0,1,0,0,7.5,1760,3
2,6,0,0,100,5.9,1990,4
3,14,1,0,100,5.4,1415,5
3,19,0,1,100,6.6,550,5
3,11,0,1,0,7.5,2377,3
0,1,0,0,0,9.1,1088,4
3,16,0,2,0,5.1,979,5
1,2,0,2,50,6.0,1150,4
2,5,0,1,50,7.7,1419,3
0,0,0,1,100,7.6,1935,3
1,4,0,0,100,6.9,1762,4
1,3,0,1,100,7.0,1829,5
2,5,0,2,100,9.6,1702,3
3,15,0,0,0,6.9,1804,3
3,12,1,2,0,8.9,861,5
0,1,1,2,100,9.2,783,3
0,1,0,2,0,7.6,1122,5
2,9,0,2,100,7.0,1794,3
3,12,0,2,0,8.3,1438,4
2,6,0,1,50,5.8,2238,3
1,3,0,1,50,9.9,758,3
0,1,0,2,0,9.7,1069,5
3,12,0,0,100,5.9,1994,5
0,1,0,1,100,6.9,517,4
1,4,0,0,0,5.9,1607,4
1,4,0,2,50,9.4,1102,3
0,1,0,0,0,6.3,2223,5
1,3,1,0,0,8.9,992,4
3,13,0,1,100,5.2,761,4
3,18,1,0,100,7.1,1301,4
2,8,0,0,0,7.8,1070,4
2,9,0,2,50,8.2,1439,3
3,19,1,0,100,8.4,1871,5
0,0,0,1,50,5.5,2003,5
1,3,0,0,50,5.8,935,3
3,11,0,2,0,5.7,2408,5
3,14,0,1,0,5.3,1409,5
1,4,1,0,100,6.5,617,3
2,9,0,2,100,7.7,1270,4
3,17,0,0,100,6.4,577,3
1,2,0,0,50,5.4,926,4
0,1,0,2,100,8.4,1367,3
2,6,1,1,50,7.0,1566,5
3,19,0,1,50,9.0,770,3
2,8,1,1,50,9.9,1440,4
1,2,0,0,50,6.4,2357,4
2,5,0,0,50,6.0,915,5
2,9,0,1,0,8.1,981,4
1,2,0,0,100,8.4,2143,5
2,7,0,0,0,6.6,2447,5
2,7,0,2,0,7.6,891,4
3,14,0,1,0,8.8,1120,3
1,4,0,1,50,8.7,2306,5
3,10,1,0,0,6.7,1550,3
3,11,0,0,0,9.7,1348,4
1,2,0,2,100,6.1,1894,3
3,18,0,1,50,8.9,1874,4
2,8,0,1,0,9.5,921,4
2,6,0,1,50,9.1,1718,5
2,7,1,2,100,9.7,1932,4
1,4,1,2,0,5.6,1996,3
2,6,0,0,0,7.3,2275,5
1,3,1,0,100,8.3,1538,3
3,17,1,1,100,5.5,1796,3
1,4,0,0,0,8.3,1902,5
1,3,0,2,0,7.1,1485,4
0,0,0,2,0,7.8,1292,4
2,8,1,1,100,7.3,1794,4
1,2,0,2,50,8.3,2473,5
0,0,0,2,100,9.5,1450,4
0,0,0,0,0,7.9,1544,5
0,1,0,2,100,5.7,1474,5
2,9,0,0,0,5.8,2181,4
3,12,0,1,50,9.1,2054,3
1,2,0,1,0,5.8,1716,3
1,3,0,2,0,7.7,2216,4
3,10,0,2,100,7.3,702,4
2,6,0,1,100,5.4,2063,5
2,6,0,2,100,7.1,1353,5
1,2,0,2,0,7.4,1945,5
1,2,1,1,100,9.2,1443,3
1,2,0,2,0,10.0,647,4
2,6,0,1,0,8.5,2098,4
2,7,1,0,0,8.0,1273,3
3,13,1,0,100,6.2,1980,5
3,14,1,0,50,9.7,814,5
0,1,0,2,0,7.0,1582,4
1,4,1,1,50,9.9,1593,3
2,9,0,0,100,8.0,1506,3
2,6,0,0,100,6.6,716,4
0,0,0,1,50,7.6,1589,4
3,12,0,1,50,6.5,1722,3
1,3,0,1,50,6.5,1512,3
1,2,0,0,0,9.3,898,5
2,8,1,0,50,5.7,1903,4
2,8,0,1,50,5.9,966,4
0,0,0,0,0,7.3,980,4
0,0,0,1,50,7.4,1632,5
2,9,0,2,100,7.0,1838,4
3,10,0,0,0,7.1,1366,5
2,8,0,0,100,9.7,1818,4
0,0,1,2,100,8.6,1833,3
2,8,0,0,0,7.3,787,3
3,19,0,0,100,9.3,1685,4
1,2,1,2,100,7.9,1561,4
2,5,1,2,0,5.5,1109,5
1,4,0,0,50,7.8,522,4
0,0,1,2,100,5.7,583,3
2,9,0,1,50,6.8,1231,3
0,0,0,1,0,5.6,1862,5
3,18,1,2,0,8.4,1850,5
2,9,1,0,50,8.5,1002,4
3,19,0,2,0,5.0,1293,3
0,1,1,2,0,6.2,1312,5
2,6,0,1,100,9.5,2173,4
2,6,0,0,0,7.5,1425,4
3,19,0,0,0,7.2,610,5
1,2,1,2,0,7.6,2075,3
0,0,1,1,0,5.9,1635,3
1,3,0,1,100,6.3,1942,4
2,5,0,0,100,8.9,1159,4
2,6,0,2,50,6.4,1904,4
1,4,0,1,100,8.0,796,5
1,2,0,0,100,9.5,2086,5
1,4,0,0,50,9.4,992,3
3,12,1,0,0,5.9,968,5
2,9,0,1,50,9.6,1666,3
2,9,1,2,50,8.7,1272,3
3,13,1,2,100,6.9,1330,5
2,9,1,0,50,8.9,926,4
3,11,0,1,50,5.1,1893,3
2,5,0,1,50,9.1,1430,3
0,0,1,0,50,5.2,986,5
1,3,0,2,100,8.3,1905,4
2,7,1,0,0,8.9,2149,3
3,13,0,1,100,5.6,1335,4
3,10,0,0,50,5.6,1109,4
0,0,0,0,100,8.2,642,3
0,0,0,1,50,5.3,2369,5
3,17,0,2,50,6.7,929,4
2,7,0,1,100,8.6,997,3
2,9,0,0,0,5.8,1763,3
3,17,0,1,0,5.6,1124,4
3,17,1,2,0,5.7,786,3
0,0,1,2,50,7.4,1772,4
0,0,0,2,0,9.2,1766,3
2,5,1,1,100,7.4,1948,5
0,0,0,0,50,7.1,1770,3
2,8,1,1,50,6.4,1711,5
0,1,0,1,0,9.5,1267,5
3,17,1,2,0,5.1,2061,5
0,0,0,1,100,8.5,1722,5
1,2,0,0,50,7.8,1879,5
1,3,0,0,50,8.0,2219,3
2,7,0,1,100,5.7,756,5
3,15,0,0,100,8.0,2166,5
3,12,1,2,100,6.5,1304,4
1,4,1,1,0,5.8,2136,4
2,9,0,1,50,6.2,1720,5
2,7,0,2,0,7.1,1984,5
0,0,0,2,0,9.0,581,4
3,18,0,0,100,5.9,1587,3
3,11,0,0,100,8.5,2254,5
3,14,1,2,0,7.9,1504,5
1,4,0,1,0,5.5,2291,4
0,0,0,2,100,5.7,1204,5
0,1,0,2,100,5.8,1649,3
3,11,0,1,0,7.2,1759,3
3,15,0,0,100,7.7,2172,3
3,19,1,0,50,9.0,1176,5
1,4,0,0,50,5.7,1141,4
2,7,0,1,100,8.7,618,4
2,9,0,1,50,9.7,2477,5
3,12,1,2,50,6.7,1946,4
1,4,0,2,50,5.1,2143,4
2,9,0,2,100,8.5,1599,4
2,6,1,0,100,6.2,1232,5
0,0,0,1,0,5.7,1658,3
0,0,0,1,100,9.8,1410,5
2,5,0,2,50,7.4,2248,3
3,18,0,2,0,5.6,1686,5
0,0,0,1,0,5.3,2264,4
3,19,0,0,0,6.9,2224,4
3,12,0,1,0,6.1,649,4
0,1,1,1,50,10.0,1133,3
2,6,0,0,0,9.5,2009,4
0,0,0,0,100,8.8,1506,5
1,2,0,2,100,7.1,2259,3
0,1,0,1,50,6.5,1802,3
1,3,0,0,100,8.8,2261,5
3,12,0,1,50,5.8,964,4
3,17,1,2,0,6.5,693,5
0,1,1,2,100,8.1,1886,4
3,14,1,0,50,6.0,2061,5
3,11,1,0,0,7.3,2450,5
0,0,0,0,0,8.9,620,5
3,10,1,0,50,7.7,1794,5
2,8,0,1,100,8.4,1770,3
1,3,0,1,0,9.5,810,4
0,1,0,1,100,10.0,1499,3
3,15,1,0,0,5.2,2154,4
3,13,0,2,100,6.1,1044,3
1,3,1,1,0,7.4,531,3
3,15,0,0,50,7.8,1020,4
1,2,0,1,100,7.0,1038,4
0,0,0,2,0,6.8,1623,4
2,5,1,1,50,6.3,2193,5
3,15,0,0,0,5.7,985,3
1,2,0,0,50,5.0,1505,5
0,1,0,1,0,6.7,2432,3
0,1,0,1,100,7.3,2493,5
2,9,0,1,0,6.0,2206,3
1,2,0,1,100,8.5,1858,3
1,3,1,1,50,6.4,695,3
3,10,0,1,100,9.4,2105,4
0,1,0,2,50,9.2,1042,5
0,1,0,0,100,7.1,1374,4
2,7,1,0,50,7.7,2098,5
2,6,0,1,100,6.7,1238,5
1,4,0,2,100,5.6,827,5
3,12,0,2,100,7.4,2471,5
3,18,1,2,100,6.1,2245,5
1,2,0,0,100,6.4,1178,3
2,9,1,2,100,8.3,2056,5
2,5,0,1,0,7.4,1307,3
0,0,0,1,100,7.0,931,4
2,9,1,2,100,7.9,1128,3
1,4,0,2,100,6.7,2277,5
2,7,1,2,50,5.7,1788,3
1,4,0,2,50,9.9,1461,4
2,8,1,1,50,7.2,2206,4
3,15,0,2,100,6.5,958,5
3,19,1,0,100,6.7,2047,3
0,0,1,1,50,6.2,1531,3
3,14,0,0,50,9.8,1290,3
2,7,0,2,0,7.3,1518,3
2,6,0,2,50,5.1,858,3
1,3,0,2,100,8.9,1358,3
0,0,1,2,50,7.5,2430,4
2,6,1,2,50,6.6,1890,4
1,2,0,0,50,9.3,1107,3
2,5,1,2,100,5.1,2307,5
2,7,0,0,100,6.6,619,5
1,4,0,2,100,6.9,1450,4
3,15,0,2,0,10.0,689,4
1,3,0,2,0,6.8,2006,5
1,4,0,0,50,9.6,1212,4
3,17,0,0,50,9.5,697,3
1,4,0,0,50,5.8,909,3
2,9,0,2,50,5.3,767,5
2,8,0,2,50,8.5,2317,5
2,9,0,1,0,9.7,965,3
3,12,1,0,0,5.6,1132,3
2,5,0,0,0,6.2,1790,4
3,14,0,1,100,7.1,524,3
2,7,0,1,0,7.8,976,5
1,4,0,2,100,9.6,2375,4
3,16,0,0,0,5.3,2495,4
2,8,0,0,100,7.7,625,4
2,9,0,1,100,7.3,1381,4
2,8,0,2,0,8.5,1090,5
3,15,0,0,100,6.4,1620,3
2,7,1,2,100,7.8,990,3
1,2,0,1,50,9.7,682,3
0,1,0,1,0,7.1,2037,5
3,17,0,2,100,8.6,1860,4
3,15,0,1,50,7.6,2488,5
1,4,0,0,100,7.8,1944,4
0,0,0,1,100,7.4,1934,3
2,5,0,2,0,5.9,2186,3
0,1,0,1,100,7.2,2263,5
0,0,0,2,50,5.6,1678,4
3,17,1,2,100,6.5,768,4
2,6,1,1,50,6.9,952,4
3,12,0,0,100,9.3,2171,3
3,18,0,2,100,5.2,731,4
3,17,0,2,0,7.4,1425,5
1,3,0,2,50,6.8,880,4
2,7,0,1,100,8.1,607,4
0,1,0,1,0,5.6,888,3
0,0,1,2,0,6.4,1639,3
2,8,0,2,0,9.1,1098,3
2,5,1,0,50,5.8,1971,4
1,2,1,1,0,9.4,1706,5
3,11,0,1,50,8.0,1894,5
0,0,0,0,0,7.9,2292,3
2,5,1,0,50,5.1,1519,5
3,17,0,0,0,5.2,752,3
2,5,0,1,0,8.5,1347,5
0,1,0,0,0,6.8,2497,3
1,3,0,1,0,8.9,1837,3
2,9,0,1,100,9.7,2469,4
1,2,0,0,100,7.4,1508,5
3,10,0,2,100,5.4,1197,5
3,14,1,0,50,8.2,2015,5
2,8,0,0,0,5.3,2251,4
2,8,0,1,0,6.5,929,5
0,0,0,2,50,7.1,1636,4
3,17,0,2,50,9.1,2338,4
1,3,0,2,100,7.4,2292,4
2,5,0,1,100,6.6,2268,4
1,3,0,2,100,7.8,2193,3
0,0,0,0,50,6.7,1501,5
1,4,0,0,100,8.8,1993,3
1,3,0,2,0,9.5,1042,5
0,0,0,2,50,5.8,1524,5
0,0,0,1,100,9.4,809,3
0,0,0,2,0,9.9,2283,4
3,18,1,2,0,7.5,1190,3
3,13,0,0,0,7.3,1149,3
3,13,1,0,100,10.0,810,4
1,2,1,0,100,6.9,962,3
3,12,0,1,0,8.0,1747,4
1,4,0,2,0,8.9,718,4
0,0,0,1,100,6.7,583,3
1,3,0,0,50,9.3,2210,4
2,6,0,2,0,5.2,1114,4
3,13,0,0,0,8.8,713,4
1,3,0,2,100,6.0,1219,4
1,2,0,2,100,6.0,1446,4
2,8,0,2,50,7.8,1314,3
3,11,0,2,100,5.4,1284,3
3,13,0,1,100,8.3,1179,4
1,4,0,0,50,5.8,909,3
1,4,0,0,0,6.2,1926,5
2,5,1,2,100,9.9,1818,3
2,7,0,2,0,6.9,1941,5
2,6,0,0,100,5.7,1267,5
2,7,0,0,0,7.3,1540,5
3,15,0,1,100,6.7,2201,3
0,1,1,0,0,5.1,1339,5
0,0,0,1,0,5.7,1490,3
0,0,0,2,100,5.9,1466,5
0,0,0,1,0,5.5,1614,5
3,10,0,0,0,7.0,1909,4
2,6,0,0,50,6.7,1493,4
3,10,1,0,100,5.6,1266,4
3,18,0,0,100,7.9,826,4
2,7,0,2,50,5.2,1397,3
0,1,0,1,0,6.1,2254,3
0,1,0,1,50,7.5,1849,3
1,4,0,2,50,6.5,2215,5
3,11,0,1,50,8.6,1494,3
3,18,0,0,50,5.3,1220,3
